candidate,source_signal_id,symbol,timeframe,setup_type,bias,market_regime,volatility_regime,entry_kind,signal_time,entry_touched_at,closed_at,result,close_reason,pnl_pct,r_multiple,position_size_multiplier,allocated_r,entry_price,stop_loss,target_price_1,target_price_2,continuation_quality_ready,continuation_quality_score,market_pressure_4h,flow_alignment,volume_z_15m,oi_delta_z_15m,taker_buy_sell_ratio_delta_15m,ema30,ema100,ema30_slope,ema30_extension_atr,mae_r,mfe_r,entry_efficiency
ema_pullback_only,7,MAGMAUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-24T10:26:31.962543+00:00,2026-04-24T10:26:31.962543+00:00,2026-04-24T10:57:02.690677+00:00,win,Partial TP1,0.95483449,0.495,0.4233,0.2095335,0.2214,0.21712928571428572,0.22562800714285716,0.2299414285714286,False,0.2301,0.04154004517764777,0.6327,0.0,1.259891725218904,0.2599699345976988,0.21276586,0.20159711,0.0005954582,0.6714,0.0375,1.2012,0.9698
ema_pullback_only,8,GALAUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-24T12:04:56.081605+00:00,2026-04-24T12:04:56.081605+00:00,2026-04-24T23:57:14.414203+00:00,win,Target 2,4.44051138,1.495,1.2798,1.913301,0.00328,0.0031825760714285713,0.003376449689285714,0.0034748478571428572,False,0.0,0.6003666512322284,1.0,-0.8688960886406891,-0.2941148187985413,0.4380548692765165,0.00321546,0.00320706,4.451e-06,0.0033,0.0,2.874,1.0
ema_pullback_only,13,ENAUSDT,15m,Continuation,Bullish,Ranging,High,market,2026-04-25T01:33:59.000209+00:00,2026-04-25T01:33:59.000209+00:00,2026-04-25T05:12:49.116208+00:00,win,Continuation Trail Stop,0.45264907,0.91048661,0.6204,0.5648659,0.10905,0.10850785714285714,0.10958672142857141,0.1101342857142857,False,0.3295,-0.023382959010935078,0.8617,1.8329953342864869,1.2717252017458696,0.06623729926809158,0.1084341,0.10820249,1.55791e-05,0.1858,0.4427,1.6601,0.7895
ema_pullback_only,14,GALAUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-25T04:01:35.760746+00:00,2026-04-25T04:01:35.760746+00:00,2026-04-25T11:55:01.240326+00:00,loss,Invalidation,-3.54033101,-1.0,1.2825,-1.2825,0.00369,0.0035593617857142858,0.0038193318321428573,0.0039512764285714284,False,0.3619,0.930206908740746,1.0,-0.9013012004337374,-1.0657086159529208,0.19289805223039957,0.00328673,0.00323058,2.7812e-05,0.0171,1.1482,0.0,0.0
ema_pullback_only,16,KATUSDT,15m,Continuation,Bullish,Trending,High,market,2026-04-25T07:40:22.993297+00:00,2026-04-25T07:40:22.993297+00:00,2026-04-25T07:55:37.778942+00:00,loss,Invalidation,-3.56119525,-1.0,1.1318,-1.1318,0.02443,0.02356,0.0252913,0.02617,False,0.3965,-0.8965367461561348,0.7763,0.25236175730996835,0.7785093584567081,0.09143781682092024,0.02382203,0.02177384,4.19289e-05,0.0256,1.1839,0.0,0.0
ema_pullback_only,17,ALGOUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-25T08:00:47.271602+00:00,2026-04-25T08:00:47.271602+00:00,2026-04-25T15:59:59.999000+00:00,loss,Invalidation,-2.83446712,-1.0,1.2825,-1.2825,0.11655,0.11324642857142857,0.12230803571428572,0.12690714285714289,False,0.3619,0.594345637782433,0.9147,-0.06812052676824042,-0.33538338398113443,-1.1234359293274763,0.10568414,0.10369637,0.0006493694,0.4568,0.6508,0.0,0.0
ema_pullback_only,21,ENJUSDT,15m,Continuation,Bullish,Balanced,High,market,2026-04-26T00:59:13.367085+00:00,2026-04-26T00:59:13.367085+00:00,2026-04-26T01:29:43.538436+00:00,loss,Invalidation,-0.96529571,-1.0,0.4527,-0.4527,0.06471,0.06408535714285715,0.06532839642857143,0.0659592857142857,False,0.2796,0.04831177509499676,0.6823,0.09086899517017803,2.1911449216870276,0.21721738981903904,0.0633101,0.06248256,9.6545e-05,0.2175,1.2807,0.6244,0.3277
ema_pullback_only,26,ENSOUSDT,15m,Continuation,Bullish,Trending,High,market,2026-04-26T10:47:38.664674+00:00,2026-04-26T10:47:38.664674+00:00,2026-04-26T11:55:37.716802+00:00,loss,Fail-Fast Exit,-1.6261665,-0.29349056,1.0224,-0.30006475,1.0823,1.0223321428571428,1.1416681785714287,1.2022357142857145,False,0.2796,0.8422706682683578,0.6992,-1.2948441371673687,0.3969056748196703,0.1922989855661223,1.03255948,0.93945401,0.0012579668,1.3466,0.5186,0.0,0.0
ema_pullback_only,31,1000PEPEUSDT,4h,Continuation,Bullish,Balanced,High,pending_limit,2026-04-26T12:00:01.672812+00:00,2026-04-26T15:57:38.304963+00:00,2026-04-27T03:57:34.172163+00:00,win,Partial TP1,1.0394405,0.495,1.2825,0.6348375,0.00393247,0.0038498928571428577,0.004014221371428572,0.004097624285714286,False,0.3619,0.8161978723695781,1.0,-1.1034452120882374,-0.27763629305022053,-0.4377289138520337,0.00383443,0.00378775,7.4184e-06,0.007,0.4671,0.8759,0.6522
ema_pullback_only,32,PENGUUSDT,4h,Continuation,Bullish,Trending,High,market,2026-04-26T12:00:03.838952+00:00,2026-04-26T12:00:03.838952+00:00,2026-04-26T19:59:59.999000+00:00,loss,Invalidation,-4.06722501,-1.0,1.2825,-1.2825,0.00895925,0.008594857142857144,0.009319998928571428,0.009688035714285713,False,0.3619,0.8039359207390724,1.0,-0.809312533522237,0.0,0.16296657839835488,0.00839959,0.00795265,4.05798e-05,0.0206,0.5831,0.1173,0.1675
